ts,year,month,day,dp,rmm,wdir,ws,t,rh,p
2014-09-05,2014,9,5,10.67368040491679,0.16,287.0,3.7906001446131476,16.691540130151797,68.32682574114244,1016.627042660884
2014-09-06,2014,9,6,10.514461315979728,0.15,287.0,1.7625451916124366,15.135068691250948,74.68112798264642,1013.7083152566911
2014-09-07,2014,9,7,9.811569052783808,0.18000000000000002,118.0,1.6361532899493856,14.97859725234993,73.0643528561099,1014.2586406363041
2014-09-08,2014,9,8,12.40759219088934,0.12999999999999998,174.0,2.3070860448300765,15.974692697035406,80.14605929139552,1013.3237165582078
2014-09-09,2014,9,9,13.002747650036145,11.069999999999999,315.0,2.3201735357917577,16.297324656543818,81.17859725234996,1008.2400578452645
2014-09-10,2014,9,10,12.389443239334787,0.4000000000000002,28.0,1.5960954446854672,14.899638467100553,85.45336225596529,1011.0167751265323
2014-09-11,2014,9,11,12.747360809833687,0.23000000000000007,315.0,1.5814895155459132,14.954953000723107,87.35502530730297,1016.7212581345019
2014-09-12,2014,9,12,12.297180043383909,0.17,11.0,1.6253073029645706,15.490527838033291,82.03904555314534,1018.1315979754146
2014-09-13,2014,9,13,8.997541576283444,0.12999999999999998,6.0,2.0752711496746197,14.295372378886498,71.92190889370933,1022.4691973969669
2014-09-14,2014,9,14,8.622270426608802,0.08,315.0,1.5951554591467842,13.629428778018765,72.705712219812,1024.7137382501844
2014-09-15,2014,9,15,7.885972523499643,0.13999999999999999,17.0,1.6890093998553866,14.120318148951572,68.09616775126537,1024.449530007236
2014-09-16,2014,9,16,6.997035430224191,0.03,96.0,1.4719450469992765,13.04577006507588,67.23644251626898,1024.2998553868354
2014-09-17,2014,9,17,8.749382716049386,0.03,39.0,0.7337448559670783,11.801646090534991,81.64197530864197,1023.8395061728368
2014-09-18,2014,9,18,8.461917998610174,0.04,214.0,1.4972897845726207,14.024808895065974,69.99722029186935,1020.0150104239109
2014-09-19,2014,9,19,10.698611111111088,0.05,174.0,1.513472222222223,15.050208333333341,76.30625,1015.9753472222212
2014-09-20,2014,9,20,11.27895878524947,0.04,203.0,2.085683297180043,15.249530007230664,77.73174258857556,1010.7271149674539
2014-09-21,2014,9,21,11.20216919739695,0.12999999999999998,107.0,3.17353579175705,14.824005784526394,79.23716558206797,1002.687997107735
2014-09-22,2014,9,22,8.609182935647155,18.080000000000023,360.0,3.1512653651482276,10.431742588575561,88.66015907447577,996.8324656543787
2014-09-23,2014,9,23,-0.9803326102675335,0.8400000000000005,304.0,5.825596529284173,3.454808387563265,72.87924801156905,998.3402747650072
2014-09-24,2014,9,24,-0.10809833694865857,8.969999999999997,180.0,4.2403470715835105,5.230947216196676,69.77368040491685,1000.897541576283
2014-09-25,2014,9,25,8.582791033984076,9.23999999999998,124.0,4.029862617498192,11.383658712942877,83.23138105567607,998.07483731019
2014-09-26,2014,9,26,8.677657266811282,4.73,236.0,4.512942877801883,11.631959508315303,82.32827187274042,1001.4859002169184
2014-09-27,2014,9,27,5.842950108459879,2.8299999999999965,203.0,4.750469992769353,11.62241503976859,69.21113521330442,997.5496746203883
2014-09-28,2014,9,28,8.01887201735363,0.17,276.0,4.135430224150401,12.639479392624748,73.89009399855387,1003.7044107013648
2014-09-29,2014,9,29,5.831959508315265,0.09999999999999999,293.0,3.547071583514096,12.13412870571218,67.3058568329718,1005.3083152566915
2014-09-30,2014,9,30,2.30625000000001,0.07,354.0,4.183055555555561,8.728055555555532,64.81597222222223,1014.9063194444418
2014-10-01,2014,10,1,1.9230555555555549,0.18000000000000002,231.0,1.8154861111111122,7.101597222222199,70.98125,1025.9577083333252
2014-10-02,2014,10,2,5.219791666666657,0.3100000000000001,287.0,2.7840277777777773,9.808055555555535,73.31944444444444,1024.46125
2014-10-03,2014,10,3,8.293680555555536,0.30000000000000004,219.0,1.6922222222222212,11.492500000000035,80.90347222222222,1023.3570138888842
2014-10-04,2014,10,4,9.370069444444445,1.810000000000001,96.0,2.0505555555555555,10.966458333333327,90.05277777777778,1023.132499999995
2014-10-05,2014,10,5,2.9764583333333317,0.2800000000000001,129.0,3.7055555555555504,7.36243055555557,74.08611111111111,1028.0081250000017
2014-10-06,2014,10,6,1.1417361111111117,0.24000000000000005,129.0,4.970069444444444,7.330902777777659,65.01319444444445,1032.2793750000108
2014-10-07,2014,10,7,1.2966666666666693,0.17,158.0,5.982916666666672,8.76083333333339,59.44166666666667,1026.5363888888871
2014-10-08,2014,10,8,4.8279861111111,6.2099999999999955,208.0,4.995000000000005,8.396944444444536,78.82291666666667,1010.453541666669
2014-10-09,2014,10,9,8.668680555555579,0.18000000000000002,129.0,3.1016666666666644,10.35493055555553,89.47430555555556,1004.6247916666728
2014-10-10,2014,10,10,10.899166666666678,0.4900000000000002,242.0,3.162291666666664,11.874166666666701,93.93055555555556,1002.0927777777799
2014-10-11,2014,10,11,8.305763888888873,0.23000000000000007,264.0,2.967152777777777,11.233888888888874,82.56875,1007.3647222222243
2014-10-12,2014,10,12,6.644305555555544,0.4200000000000002,332.0,1.5545833333333359,7.704097222222174,93.17013888888889,1009.2017361111128
2014-10-13,2014,10,13,6.271666666666692,2.9699999999999993,79.0,1.8076388888888901,7.521041666666594,91.92361111111111,1007.7183333333388
2014-10-14,2014,10,14,7.109444444444432,0.6900000000000004,203.0,1.9265277777777776,8.482986111111076,91.24722222222222,1005.9852083333333
2014-10-15,2014,10,15,0.6266666666666696,0.29000000000000015,62.0,3.4712500000000004,3.75638888888889,80.01527777777778,1009.163402777778
2014-10-16,2014,10,16,-2.9529861111111066,0.20000000000000004,62.0,3.8306944444444464,2.2545138888888885,67.19444444444444,1009.3356249999948
2014-10-17,2014,10,17,-4.464166666666699,0.26000000000000006,326.0,1.8437499999999991,1.0443055555555563,64.79583333333333,1011.4043055555559
2014-10-18,2014,10,18,-4.5424999999999995,0.3200000000000001,197.0,1.4656944444444453,1.0659722222222239,64.12430555555555,1018.2209722222238
2014-10-19,2014,10,19,5.385694444444463,16.009999999999973,270.0,3.90333333333333,7.173749999999969,88.86597222222223,1000.6229166666637
2014-10-20,2014,10,20,5.437847222222231,0.43000000000000016,62.0,2.4784722222222237,6.987152777777737,90.03402777777778,989.0395138888879
2014-10-21,2014,10,21,-3.2974305555555463,0.4200000000000002,56.0,3.5086805555555545,0.6627777777777768,72.86666666666666,1003.1163888888899
